"Report Period","Cert/ID","Institution Name","City","State","Class","Total Assets","Total Domestic Deposits"
"20131231","628","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","COLUMBUS","OH","N","1945467000","1004101000"
"20131231","3510","BANK OF AMERICA, NATIONAL ASSOCIATION","CHARLOTTE","NC","N","1433716000","1034845000"
"20131231","3511","WELLS FARGO BANK, NATIONAL ASSOCIATION","SIOUX FALLS","SD","N","1373600000","1000959000"
"20131231","7213","CITIBANK, NATIONAL ASSOCIATION","SIOUX FALLS","SD","N","1355449000","451105000"
"20131231","6548","U.S. BANK NATIONAL ASSOCIATION","CINCINNATI","OH","N","360478278","246123638"
"20131231","6384","PNC BANK, NATIONAL ASSOCIATION","WILMINGTON","DE","N","309999678","219272947"
"20131231","639","THE BANK OF NEW YORK MELLON","NEW YORK","NY","SM","296626000","130876000"
"20131231","14","STATE STREET BANK AND TRUST COMPANY","BOSTON","MA","SM","239051106","82783457"
"20131231","4297","CAPITAL ONE, NATIONAL ASSOCIATION","MCLEAN","VA","N","238482903","187152682"
"20131231","18409","TD BANK, NATIONAL ASSOCIATION","WILMINGTON","DE","N","217626166","184257452"
"20131231","57890","HSBC BANK USA, NATIONAL ASSOCIATION","MCLEAN","VA","N","179771772","103036290"
"20131231","9846","BRANCH BANKING AND TRUST COMPANY","WINSTON SALEM","NC","NM","179126294","133558001"
"20131231","867","SUNTRUST BANK","ATLANTA","GA","SM","171261678","132947193"
"20131231","33318","FIA CARD SERVICES, NATIONAL ASSOCIATION","WILMINGTON","DE","N","158290000","114391000"
"20131231","6672","FIFTH THIRD BANK","CINCINNATI","OH","SM","127428329","99883925"
"20131231","23702","CHASE BANK USA, NATIONAL ASSOCIATION","WILMINGTON","DE","N","123041284","40906626"
"20131231","12368","REGIONS BANK","BIRMINGHAM","AL","SM","116608550","93763465"
"20131231","33124","GOLDMAN SACHS BANK USA","NEW YORK","NY","SM","105616000","64089000"
"20131231","22826","UNION BANK, NATIONAL ASSOCIATION","SAN FRANCISCO","CA","N","105286470","79621533"
"20131231","32992","MORGAN STANLEY BANK, NATIONAL ASSOCIATION","SALT LAKE CITY","UT","N","103074000","89805000"
"20131231","913","THE NORTHERN TRUST COMPANY","CHICAGO","IL","SM","102658650","35409826"
"20131231","57450","CHARLES SCHWAB BANK","RENO","NV","SB","99877000","93036000"
"20131231","57803","ALLY BANK","MIDVALE","UT","NM","98737480","53856450"
"20131231","57957","RBS CITIZENS, NATIONAL ASSOCIATION","PROVIDENCE","RI","N","94716980","70904149"
"20131231","16571","BMO HARRIS BANK NATIONAL ASSOCIATION","CHICAGO","IL","N","91286152","70249206"
"20131231","17534","KEYBANK NATIONAL ASSOCIATION","CLEVELAND","OH","N","90439767","71292474"
"20131231","588","MANUFACTURERS AND TRADERS TRUST COMPANY","BUFFALO","NY","SM","84362333","67830122"
"20131231","33954","CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION","GLEN ALLEN","VA","N","81905574","36692752"
"20131231","5649","DISCOVER BANK","GREENWOOD","DE","NM","77904358","44955891"
"20131231","29950","SANTANDER BANK, N.A.","WILMINGTON","DE","N","74264382","49112005"
"20131231","19048","COMPASS BANK","BIRMINGHAM","AL","SM","71737435","54468562"
"20131231","3514","BANK OF THE WEST","SAN FRANCISCO","CA","NM","66467781","47402891"
"20131231","983","COMERICA BANK","DALLAS","TX","SM","65201888","52499151"
"20131231","32188","USAA FEDERAL SAVINGS BANK","SAN ANTONIO","TX","SB","62866954","56156021"
"20131231","6560","THE HUNTINGTON NATIONAL BANK","COLUMBUS","OH","N","59304805","48262438"
"20131231","623","DEUTSCHE BANK TRUST COMPANY AMERICAS","NEW YORK","NY","SM","55641000","38350000"
"20131231","57565","UBS BANK USA","SALT LAKE CITY","UT","NM","45602567","41462142"
"20131231","30746","E*TRADE BANK","ARLINGTON","VA","SB","45084873","33043111"
"20131231","33653","BANK OF CHINA","NEW YORK","NY","OI","44439013","14031305"
"20131231","16022","NEW YORK COMMUNITY BANK","WESTBURY","NY","SI","43047727","23232512"
"20131231","59017","FIRST REPUBLIC BANK","SAN FRANCISCO","CA","NM","42112763","32082716"
"20131231","13074","HUDSON CITY SAVINGS BANK","PARAMUS","NJ","SB","38605919","21606369"
"20131231","35328","AMERICAN EXPRESS BANK, FSB.","SALT LAKE CITY","UT","SB","38516497","27152406"
"20131231","27314","GE CAPITAL RETAIL BANK","DRAPER","UT","SB","37806067","26369358"
"20131231","16004","FIRST NIAGARA BANK, NATIONAL ASSOCIATION","BUFFALO","NY","N","37576781","27167115"
"20131231","27334","PEOPLE'S UNITED BANK","BRIDGEPORT","CT","SB","32973830","22582595"
"20131231","27471","AMERICAN EXPRESS CENTURION BANK","SALT LAKE CITY","UT","NM","32308666","14318286"
"20131231","17281","CITY NATIONAL BANK","LOS ANGELES","CA","N","29373389","25862900"
"20131231","57282","CITIZENS BANK OF PENNSYLVANIA","PHILADELPHIA","PA","SI","29098779","22649152"
"20131231","5146","WELLS FARGO BANK SOUTH CENTRAL, NATIONAL ASSOCIATION","HOUSTON","TX","N","28834000","25350000"
"20131231","25178","BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION","SAN FRANCISCO","CA","N","27210000","17201000"
"20131231","4214","BOKF, NATIONAL ASSOCIATION","TULSA","OK","N","26795278","20086190"
"20131231","34968","BANCO POPULAR DE PUERTO RICO","HATO REY","PR","SM","26563000","20548000"
"20131231","873","SYNOVUS BANK","COLUMBUS","GA","NM","25878030","21077897"
"20131231","24735","SILICON VALLEY BANK","SANTA CLARA","CA","SM","24874213","20622037"
"20131231","31628","EAST WEST BANK","PASADENA","CA","SM","24623588","19673709"
"20131231","5510","FROST BANK","SAN ANTONIO","TX","SM","24372376","20780840"
"20131231","5296","ASSOCIATED BANK, NATIONAL ASSOCIATION","GREEN BAY","WI","N","23932159","17418401"
"20131231","13675","FIRSTMERIT BANK, NATIONAL ASSOCIATION","AKRON","OH","N","23864142","19662917"
"20131231","4977","FIRST TENNESSEE BANK, NATIONAL ASSOCIATION","MEMPHIS","TN","N","23556814","16825762"
"20131231","58978","ONEWEST BANK, FSB","PASADENA","CA","SB","23493548","14463119"
"20131231","34221","MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION","PURCHASE","NY","N","22971000","20724000"
"20131231","24998","COMMERCE BANK","KANSAS CITY","MO","SM","22943132","19056958"
"20131231","57053","SIGNATURE BANK","NEW YORK","NY","NM","22376663","17058346"
"20131231","11063","FIRST-CITIZENS BANK & TRUST COMPANY","RALEIGH","NC","NM","20857559","17905571"
"20131231","18221","WEBSTER BANK, NATIONAL ASSOCIATION","WATERBURY","CT","N","20830913","15089879"
"20131231","58656","SCOTTRADE BANK","SAINT LOUIS","MO","SB","19547693","18311156"
"20131231","57203","BARCLAYS BANK DELAWARE","WILMINGTON","DE","NM","19065304","11806384"
"20131231","16835","PROSPERITY BANK","EL CAMPO","TX","NM","18638685","15311396"
"20131231","2270","ZIONS FIRST NATIONAL BANK","SALT LAKE CITY","UT","N","18590433","14620105"
"20131231","28330","TCF NATIONAL BANK","SIOUX FALLS","SD","N","18396839","14573615"
"20131231","7579","SUSQUEHANNA BANK","LITITZ","PA","SM","18381407","12895755"
"20131231","33778","GE CAPITAL BANK","SALT LAKE CITY","UT","NM","17864515","14312349"
"20131231","7946","BNY MELLON, NATIONAL ASSOCIATION","PITTSBURGH","PA","N","17765526","14686504"
"20131231","34775","EVERBANK","JACKSONVILLE","FL","SB","17638918","13340062"
"20131231","17985","FIRST HAWAIIAN BANK","HONOLULU","HI","NM","17104282","12511321"
"20131231","8273","UMB BANK, NATIONAL ASSOCIATION","KANSAS CITY","MO","N","16642506","13803837"
"20131231","9396","VALLEY NATIONAL BANK","PASSAIC","NJ","N","16149903","11352854"
"20131231","35575","CIT BANK","SALT LAKE CITY","UT","NM","16131260","12496224"
"20131231","33947","TD BANK USA, NATIONAL ASSOCIATION","WILMINGTON","DE","N","16073895","14525700"
"20131231","34617","STATE FARM BANK, F.S.B.","BLOOMINGTON","IL","SB","15766346","10268666"
"20131231","29805","ASTORIA FEDERAL SAVINGS AND LOAN ASSOCIATION","LONG ISLAND CITY","NY","SB","15732210","10023199"
"20131231","28892","INVESTORS BANK","SHORT HILLS","NJ","SI","15582556","10794303"
"20131231","58979","BANKUNITED, NATIONAL ASSOCIATION","MIAMI LAKES","FL","N","14874509","10687385"
"20131231","5452","FIRST NATIONAL BANK OF OMAHA","OMAHA","NE","N","14540393","12010808"
"20131231","28088","WASHINGTON FEDERAL, NATIONAL ASSOCIATION","SEATTLE","WA","N","14408200","10441542"
"20131231","23364","RABOBANK, NATIONAL ASSOCIATION","ROSEVILLE","CA","N","14264000","10737000"
"20131231","18053","BANK OF HAWAII","HONOLULU","HI","SM","14105528","11273598"
"20131231","8728","ARVEST BANK","FAYETTEVILLE","AR","SM","14081085","11909535"
"20131231","33306","THE PRIVATEBANK AND TRUST COMPANY","CHICAGO","IL","NM","14053804","12069584"
"20131231","24107","AMEGY BANK NATIONAL ASSOCIATION","HOUSTON","TX","N","13620071","10845685"
"20131231","7888","FIRST NATIONAL BANK OF PENNSYLVANIA","GREENVILLE","PA","N","13380372","10352263"
"20131231","18714","FIRSTBANK","LAKEWOOD","CO","SM","13354191","12141052"
"20131231","28100","IBERIABANK","LAFAYETTE","LA","SM","13294766","10834800"
"20131231","11813","BANCORPSOUTH BANK","TUPELO","MS","NM","13032498","10700493"
"20131231","13718","WELLS FARGO BANK NORTHWEST, NATIONAL ASSOCIATION","OGDEN","UT","N","13024000","10703000"
"20131231","33029","WHITNEY BANK","NEW ORLEANS","LA","NM","13016484","10138486"
"20131231","30387","FIRSTBANK OF PUERTO RICO","SANTURCE","PR","NM","12636531","9742659"
"20131231","34383","TEXAS CAPITAL BANK, NATIONAL ASSOCIATION","DALLAS","TX","N","11707332","8974665"
"20131231","4988","TRUSTMARK NATIONAL BANK","JACKSON","MS","N","11681215","9686650"
"20131231","16068","APPLE BANK FOR SAVINGS","MANHASSET","NY","SI","11647155","10550557"
"20131231","17266","UMPQUA BANK","ROSEBURG","OR","NM","11626502","9194214"
"20131231","30012","THIRD FEDERAL SAVINGS AND LOAN ASSOCIATION OF CLEVELAND","CLEVELAND","OH","SB","11345180","8494997"
"20131231","33893","RAYMOND JAMES BANK, NATIONAL ASSOCIATION","SAINT PETERSBURG","FL","N","11262169","10012375"
"20131231","18503","CATHAY BANK","LOS ANGELES","CA","NM","10974289","7685234"
"20131231","20852","CALIFORNIA BANK & TRUST","SAN DIEGO","CA","NM","10923000","9327670"
"20131231","58177","SALLIE MAE BANK","SALT LAKE CITY","UT","NM","10783900","9294715"
"20131231","32158","STERLING SAVINGS BANK","SPOKANE","WA","NM","10304811","7033469"
"20131231","35141","BMW BANK OF NORTH AMERICA","SALT LAKE CITY","UT","NM","9932699","6345301"
"20131231","19629","INTERNATIONAL BANK OF COMMERCE","LAREDO","TX","NM","9829860","6768548"
"20131231","3628","MB FINANCIAL BANK, NATIONAL ASSOCIATION","CHICAGO","IL","N","9624027","7503447"
"20131231","19977","ISRAEL DISCOUNT BANK OF NEW YORK","NEW YORK","NY","NM","9600085","5729242"
"20131231","4063","MIDFIRST BANK","OKLAHOMA CITY","OK","SB","9596388","5606831"
"20131231","7551","FULTON BANK, NATIONAL ASSOCIATION","LANCASTER","PA","N","9567939","6723711"
"20131231","3832","OLD NATIONAL BANK","EVANSVILLE","IN","N","9426510","7293418"
"20131231","32541","FLAGSTAR BANK, FSB","TROY","MI","SB","9349505","6323155"
"20131231","15289","GREAT WESTERN BANK","WATERTOWN","SD","NM","9269540","7191159"
"20131231","57512","WESTERN ALLIANCE BANK","PHOENIX","AZ","NM","9194974","7848716"
"20131231","27981","CAPITOL FEDERAL SAVINGS BANK","TOPEKA","KS","SB","9128932","4845008"
"20131231","34967","BANCO POPULAR NORTH AMERICA","NEW YORK","NY","SM","8755205","6027012"
"20131231","32773","EASTERN BANK","BOSTON","MA","NM","8661730","7072556"
"20131231","7414","NATIONAL PENN BANK","BOYERTOWN","PA","N","8450154","6083610"
"20131231","17491","PLAINSCAPITAL BANK","DALLAS","TX","SM","8361206","6777525"
"20131231","15504","FIRST CITIZENS BANK AND TRUST COMPANY, INC.","COLUMBIA","SC","NM","8311659","7197983"
"20131231","3709","FIRST MIDWEST BANK","ITASCA","IL","SM","8122963","6783730"
"20131231","31469","ORIENTAL BANK","SAN JUAN","PR","NM","8100165","5386629"
"20131231","58878","CAPITALSOURCE BANK","LOS ANGELES","CA","NM","8078746","6127690"
"20131231","32102","DORAL BANK","SAN JUAN","PR","NM","7970729","5022196"
"20131231","33682","STATE BANK OF INDIA","NEW YORK","NY","OI","7950432","6487903"
"20131231","13425","SCBT","COLUMBIA","SC","NM","7933259","6568016"
"20131231","28178","NORTHWEST SAVINGS BANK","WARREN","PA","SI","7904949","5905680"
"20131231","30788","GLACIER BANK","KALISPELL","MT","NM","7871150","5630941"
"20131231","58729","JPMORGAN BANK AND TRUST COMPANY, NATIONAL ASSOCIATION","SAN FRANCISCO","CA","N","7835932","25131"
"20131231","7230","NBT BANK, NATIONAL ASSOCIATION","NORWICH","NY","N","7581736","5908700"
"20131231","1105","FIRST INTERSTATE BANK","BILLINGS","MT","SM","7537959","6134019"
"20131231","12010","THE PROVIDENT BANK","JERSEY CITY","NJ","SI","7487316","5235643"
"20131231","27499","COMENITY BANK","WILMINGTON","DE","NM","7453183","1823958"
"20131231","16889","UNITED COMMUNITY BANK","BLAIRSVILLE","GA","NM","7392483","6240260"
"20131231","33681","BANK OF BARODA","NEW YORK","NY","OI","7165299","4982018"
"20131231","33826","COLUMBIA STATE BANK","TACOMA","WA","NM","7158077","6016883"
"20131231","6989","COMMUNITY BANK, NATIONAL ASSOCIATION","CANTON","NY","N","7068834","5987867"
"20131231","11241","CENTENNIAL BANK","CONWAY","AR","SM","6825080","5399391"
"20131231","22953","MERCANTIL COMMERCEBANK, NATIONAL ASSOCIATION","CORAL GABLES","FL","N","6821340","5561188"
"20131231","57833","BEAL BANK USA","LAS VEGAS","NV","NM","6817551","3843286"
"20131231","26876","SAFRA NATIONAL BANK OF NEW YORK","NEW YORK","NY","N","6768945","4903922"
"20131231","32245","DOLLAR BANK, FEDERAL SAVINGS BANK","PITTSBURGH","PA","SB","6711706","5382474"
"20131231","33686","BANK HAPOALIM B.M.","NEW YORK","NY","OI","6680226","1986983"
"20131231","20828","BANCO SANTANDER PUERTO RICO","SAN JUAN","PR","NM","6664323","5723378"
"20131231","21716","CITIZENS BUSINESS BANK","ONTARIO","CA","NM","6660891","4905675"
"20131231","30337","STERLING NATIONAL BANK","MONTEBELLO","NY","N","6628000","4990847"
"20131231","59049","CAPITAL BANK, NATIONAL ASSOCIATION","CORAL GABLES","FL","N","6619863","5296291"
"20131231","12441","HANCOCK BANK","GULFPORT","MS","NM","6615096","4987789"
"20131231","6653","THE PARK NATIONAL BANK","NEWARK","OH","N","6527444","4896412"
"20131231","24045","PACIFIC WESTERN BANK","LOS ANGELES","CA","NM","6526089","5428164"
"20131231","26610","BBCN BANK","LOS ANGELES","CA","NM","6450898","5157962"
"20131231","4999","CADENCE BANK, N.A.","BIRMINGHAM","AL","N","6438028","5352334"
"20131231","12054","EMIGRANT BANK","NEW YORK","NY","SI","6431976","4852260"
"20131231","6600","FIRST FINANCIAL BANK, NATIONAL ASSOCIATION","HAMILTON","OH","N","6410604","4926739"
"20131231","32325","MUTUAL OF OMAHA BANK","OMAHA","NE","SB","6392855","5352459"
"20131231","24811","BOSTON PRIVATE BANK & TRUST COMPANY","BOSTON","MA","NM","6251540","5154691"
"20131231","7468","FIRST COMMONWEALTH BANK","INDIANA","PA","NM","6179162","4612889"
"20131231","1003","CHEMICAL BANK","MIDLAND","MI","SM","6176405","5187743"
"20131231","803","WESBANCO BANK, INC.","WHEELING","WV","NM","6124988","5063686"
"20131231","9712","ROCKLAND TRUST COMPANY","ROCKLAND","MA","NM","6103368","5006764"
"20131231","33648","BANK OF INDIA","NEW YORK","NY","OI","6032528","4538233"
"20131231","27476","BANCFIRST","OKLAHOMA CITY","OK","NM","6020216","5450425"
"20131231","12229","FIRST BANK","CREVE COEUR","MO","SM","5846566","4815846"
"20131231","27389","WELLS FARGO FINANCIAL NATIONAL BANK","LAS VEGAS","NV","N","5742869","2404"
"20131231","12437","RENASANT BANK","TUPELO","MS","NM","5733100","4849659"
"20131231","22599","COLE TAYLOR BANK","CHICAGO","IL","SM","5662890","3672742"
"20131231","23621","BERKSHIRE BANK","PITTSFIELD","MA","SI","5645664","3916145"
"20131231","34710","NATIONWIDE BANK","COLUMBUS","OH","SB","5573160","4502882"
"20131231","35583","PINNACLE BANK","NASHVILLE","TN","NM","5544747","4554902"
"20131231","22946","SCOTIABANK DE PUERTO RICO","SAN JUAN","PR","NM","5491658","3605584"
"20131231","4365","FIRST MERCHANTS BANK NATIONAL ASSOCIATION","MUNCIE","IN","N","5417382","4246623"
"20131231","32526","AMERICAN SAVINGS BANK, FSB","HONOLULU","HI","SB","5243824","4409496"
"20131231","21843","MIZUHO BANK (USA)","NEW YORK","NY","SM","5219679","2317265"
"20131231","1225","FARMERS AND MERCHANTS BANK OF LONG BEACH","LONG BEACH","CA","SM","5214586","3831442"
"20131231","3066","FIRST FINANCIAL BANK, NATIONAL ASSOCIATION","ABILENE","TX","N","5194987","4212888"
"20131231","19842","BANK LEUMI USA","NEW YORK","NY","NM","5191130","4121854"
"20131231","16026","RIDGEWOOD SAVINGS BANK","RIDGEWOOD","NY","SI","5133140","4071129"
"20131231","6784","UNITED BANK","PARKERSBURG","WV","SM","5081543","4166234"
"20131231","57311","STIFEL BANK AND TRUST","SAINT LOUIS","MO","NM","5037879","4669796"
"20131231","59052","NBH BANK, NATIONAL ASSOCIATION","KANSAS CITY","MO","N","4890328","4087015"
"20131231","20234","CITY NATIONAL BANK OF FLORIDA","MIAMI","FL","N","4822838","3680130"
"20131231","3430","WESTAMERICA BANK","SAN RAFAEL","CA","SM","4810670","4167620"
"20131231","110","BANK OF THE OZARKS","LITTLE ROCK","AR","NM","4780399","3730343"
"20131231","17308","CENTRAL PACIFIC BANK","HONOLULU","HI","NM","4743370","3981938"
"20131231","58564","FLUSHING BANK","FLUSHING","NY","NM","4725183","3248251"
"20131231","9087","1ST SOURCE BANK","SOUTH BEND","IN","SM","4711247","3654154"
"20131231","35095","TOWNE BANK","PORTSMOUTH","VA","NM","4672997","3584467"
"20131231","58596","CARTER BANK & TRUST","MARTINSVILLE","VA","NM","4661811","4269653"
"20131231","20626","NATIONAL BANK OF ARIZONA","TUCSON","AZ","N","4581990","3931069"
"20131231","15697","BENEFICIAL MUTUAL SAVINGS BANK","PHILADELPHIA","PA","SI","4578788","3705228"
"20131231","35444","THE BANCORP BANK","WILMINGTON","DE","NM","4565477","4285566"
"20131231","28834","COLUMBIA BANK","FAIR LAWN","NJ","SB","4530767","3342516"
"20131231","31945","TRUSTCO BANK","GLENVILLE","NY","SB","4522056","3927085"
"20131231","11124","S&T BANK","INDIANA","PA","NM","4513938","3687160"
"20131231","17838","WILMINGTON SAVINGS FUND SOCIETY, FSB","WILMINGTON","DE","SB","4511602","3207935"
"20131231","1281","WASHINGTON TRUST BANK","SPOKANE","WA","NM","4430640","3799807"
"20131231","4799","INTRUST BANK, NATIONAL ASSOCIATION","WICHITA","KS","N","4364875","3446308"
"20131231","5633","FIRST SECURITY BANK","SEARCY","AR","NM","4308792","3320574"
"20131231","28489","BANNER BANK","WALLA WALLA","WA","NM","4165399","3465457"
"20131231","34589","UNION FIRST MARKET BANK","RICHMOND","VA","SM","4155026","3246942"
"20131231","57079","WORLD'S FOREMOST BANK","SIDNEY","NE","NM","4135498","1078464"
"20131231","34444","CUSTOMERS BANK","PHOENIXVILLE","PA","SM","4127288","2973217"
"20131231","4865","SANDY SPRING BANK","OLNEY","MD","SM","4103337","2885262"
"20131231","90183","MIDDLESEX SAVINGS BANK","NATICK","MA","SI","4035364","3501365"
"20131231","16012","THE DIME SVGS. BANK OF WILLIAMSBURGH","BROOKLYN","NY","SI","4013129","2637971"
"20131231","18113","NEVADA STATE BANK","LAS VEGAS","NV","NM","3979992","3590126"
"20131231","20296","JOHNSON BANK","RACINE","WI","SM","3913622","3206478"
"20131231","22441","AMERICANWEST BANK","SPOKANE","WA","NM","3913524","3264587"
"20131231","23220","WOODFOREST NATIONAL BANK","THE WOODLANDS","TX","N","3884304","3470790"
"20131231","58991","FLORIDA COMMUNITY BANK, NATIONAL ASSOCIATION","WESTON","FL","N","3881837","2931789"
"20131231","21837","SABADELL UNITED BANK, NATIONAL ASSOCIATION","MIAMI","FL","N","3871592","3050981"
"20131231","10634","PINNACLE BANK","LINCOLN","NE","NM","3870208","3267032"
"20131231","14531","AMARILLO NATIONAL BANK","AMARILLO","TX","N","3773640","3125077"
"20131231","34742","EAGLEBANK","BETHESDA","MD","SM","3755584","3244634"
"20131231","33806","OPUS BANK","IRVINE","CA","NM","3739457","2748293"
"20131231","622","AMALGAMATED BANK","NEW YORK","NY","NM","3738862","2581096"
"20131231","32749","NEW YORK COMMERCIAL BANK","WESTBURY","NY","NM","3684485","2608014"
"20131231","20504","AMERIS BANK","MOULTRIE","GA","NM","3664330","3002782"
"20131231","22858","UNITED BANK","FAIRFAX","VA","SM","3659845","2502873"
"20131231","32178","LUTHER BURBANK SAVINGS","SANTA ROSA","CA","SB","3658714","3126066"
"20131231","35498","BANC OF CALIFORNIA, NATIONAL ASSOCIATION","IRVINE","CA","N","3618297","2946754"
"20131231","23301","WILSHIRE BANK","LOS ANGELES","CA","NM","3615086","2911187"
"20131231","17943","LIBERTY BANK","MIDDLETOWN","CT","SI","3589602","2786929"
"20131231","35546","BOFI FEDERAL BANK","SAN DIEGO","CA","SB","3564057","2406216"
"20131231","2720","COMMUNITY TRUST BANK, INC.","PIKEVILLE","KY","SM","3559631","2861039"
"20131231","29546","GREAT SOUTHERN BANK","REEDS SPRING","MO","NM","3556442","2850356"
"20131231","58006","VIEWPOINT BANK, NATIONAL ASSOCIATION","PLANO","TX","N","3524113","2337317"
"20131231","57993","SERVISFIRST BANK","BIRMINGHAM","AL","NM","3519541","3022239"
"20131231","16450","BUSEY BANK","CHAMPAIGN","IL","NM","3470186","2878793"
"20131231","18297","SOUTHSIDE BANK","TYLER","TX","NM","3441570","2530871"
"20131231","19943","CENTURY BANK AND TRUST COMPANY","SOMERVILLE","MA","NM","3424530","2728084"
"20131231","23296","SALEM FIVE CENTS SAVINGS BANK","SALEM","MA","SI","3383411","2535681"
"20131231","1768","MECHANICS BANK","RICHMOND","CA","NM","3371419","2926656"
"20131231","3657","FIRST AMERICAN BANK","ELK GROVE VILLAG","IL","NM","3368127","2320647"
"20131231","24315","COMMUNITY BANK","PASADENA","CA","NM","3350600","2516262"
"20131231","17735","CITY NATIONAL BANK OF WEST VIRGINIA","CHARLESTON","WV","N","3347202","2812849"
"20131231","19953","LAKELAND BANK","NEWFOUNDLAND","NJ","NM","3312320","2717050"
"20131231","27614","FULTON BANK OF NEW JERSEY","MOUNT LAUREL","NJ","NM","3297354","2734411"
"20131231","58302","FIRST NBC BANK","NEW ORLEANS","LA","NM","3269812","2750969"
"20131231","24156","OCEAN BANK","MIAMI","FL","NM","3259964","2850113"
"20131231","23627","REPUBLIC BANK & TRUST COMPANY","LOUISVILLE","KY","NM","3253875","2035466"
"20131231","28765","KEARNY FEDERAL SAVINGS BANK","KEARNY","NJ","SB","3243556","2385799"
"20131231","33527","BANK OF NORTH CAROLINA","THOMASVILLE","NC","NM","3227841","2708476"
"20131231","17798","BROOKLINE BANK","BROOKLINE","MA","SM","3225192","2279913"
"20131231","12614","COMMUNITY TRUST BANK","CHOUDRANT","LA","SM","3199260","2720661"
"20131231","23623","THE WASHINGTON TRUST COMPANY OF WESTERLY","WESTERLY","RI","NM","3185326","2507456"
"20131231","15019","FIRST BANK","SOUTHERN PINES","NC","NM","3184673","2756496"
"20131231","13102","LAKE CITY BANK","WARSAW","IN","SM","3168527","2547018"
"20131231","3890","SIMMONS FIRST NATIONAL BANK","PINE BLUFF","AR","N","3167950","2704216"
"20131231","27237","ENTERPRISE BANK & TRUST","CLAYTON","MO","NM","3151790","2551782"
"20131231","16130","FIRST NATIONAL BANK ALASKA","ANCHORAGE","AK","N","3103135","2097171"
"20131231","26240","SUN NATIONAL BANK","VINELAND","NJ","N","3082318","2639053"
"20131231","6834","STELLARONE BANK","CHRISTIANSBURG","VA","SM","3061932","2473143"
"20131231","24170","HANMI BANK","LOS ANGELES","CA","SM","3048824","2527526"
"20131231","32489","HOMESTREET BANK","SEATTLE","WA","SI","3040697","2217812"
"20131231","18408","BANGOR SAVINGS BANK","BANGOR","ME","SI","3022776","2170259"
"20131231","953","BANKERS TRUST COMPANY","DES MOINES","IA","NM","3020471","2350444"
"20131231","20693","HUDSON VALLEY BANK, NATIONAL ASSOCIATION","YONKERS","NY","N","2993444","2635126"
"20131231","26342","RBC BANK, (GEORGIA) NATIONAL ASSOCIATION","ATLANTA","GA","N","2943281","2681900"
"20131231","4382","FIRST FINANCIAL BANK, NATIONAL ASSOCIATION","TERRE HAUTE","IN","N","2934275","2414362"
"20131231","57408","OPTUM BANK, INC.","SALT LAKE CITY","UT","NM","2926438","2168349"
"20131231","659","FIVE STAR BANK","WARSAW","NY","SM","2922017","2327647"
"20131231","28866","ORITANI BANK","TOWNSHIP OF WASH","NJ","SI","2911045","1483156"
"20131231","19581","BELL STATE BANK & TRUST","FARGO","ND","NM","2905587","2515561"
"20131231","58427","USAMERIBANK","CLEARWATER","FL","SM","2899494","2461722"
"20131231","15797","BROADWAY NATIONAL BANK","SAN ANTONIO","TX","N","2890779","2496681"
"20131231","34733","CARDINAL BANK","MCLEAN","VA","NM","2882309","2067520"
"20131231","13421","UNION BANK AND TRUST COMPANY","LINCOLN","NE","NM","2862684","2313547"
"20131231","5766","MAINSOURCE BANK","GREENSBURG","IN","NM","2847543","2211550"
"20131231","18429","MORTON COMMUNITY BANK","MORTON","IL","SM","2815330","2230172"
"20131231","59010","COMMUNITY & SOUTHERN BANK","ATLANTA","GA","NM","2805106","2298476"
"20131231","12923","BREMER BANK, NATIONAL ASSOCIATION","SOUTH ST. PAUL","MN","N","2794680","2357151"
"20131231","26255","METRO BANK","LEMOYNE","PA","NM","2780386","2250036"
"20131231","22683","COBIZ BANK","DENVER","CO","SM","2764606","2305717"
"20131231","27249","VIRGINIA COMMERCE BANK","ARLINGTON","VA","SM","2742790","2084946"
"20131231","21943","TRI COUNTIES BANK","CHICO","CA","NM","2742786","2413003"
"20131231","34351","USAA SAVINGS BANK","LAS VEGAS","NV","NM","2731733","702283"
"20131231","28710","NORTHFIELD BANK","STATEN ISLAND","NY","SB","2703199","1640595"
"20131231","33510","EAST BOSTON SAVINGS BANK","BOSTON","MA","SI","2679136","2253583"
"20131231","57870","STATE BANK AND TRUST COMPANY","MACON","GA","NM","2604326","2184690"
"20131231","16191","STOCKMAN BANK OF MONTANA","MILES CITY","MT","NM","2596037","1940639"
"20131231","9622","CAPITAL CITY BANK","TALLAHASSEE","FL","SM","2590767","2146055"
"20131231","4255","THE CAMDEN NATIONAL BANK","CAMDEN","ME","N","2577201","1834365"
"20131231","13012","FIRST COMMUNITY BANK","BLUEFIELD","VA","SM","2575113","1958550"
"20131231","17870","CAMBRIDGE SAVINGS BANK","CAMBRIDGE","MA","SI","2571234","2044431"
"20131231","2993","VECTRA BANK COLORADO, NATIONAL ASSOCIATION","FARMINGTON","NM","N","2570710","2178052"
"20131231","16390","THE F&M BANK & TRUST COMPANY","TULSA","OK","SM","2565052","2333156"
"20131231","20369","HEARTLAND BANK AND TRUST COMPANY","BLOOMINGTON","IL","NM","2561422","2192551"
